8c74bc0adb5686f680448c8e502feb77,Auburn Tigers,Miami Hurricanes,61,79
09ef48bc375a44591895f70cfb3bfb89,Purdue Boilermakers,Texas Longhorns,81,71
1849b460e9c100bde647113e9add689e,Arizona Wildcats,TCU Horned Frogs,85,80
df974047ae0d101c3d3c12e247ed2061,UNC Wilmington Seahawks,Drake Bulldogs,76,75
ba9d2e844b1cc75d8b535b2626a1f640,UNC Asheville Bulldogs,N Colorado Bears,84,87
ecad3e3b17d507d1f97ec250ef9e0e37,Boston Univ. Terriers,Middle Tennessee Blue Raiders,46,76
99c94fc7cde2566b126dcfd0f2eea87a,Coastal Carolina Chanticleers,Florida Gulf Coast Eagles,84,68
c294036bc8c41db6f2ecade461e54921,South Alabama Jaguars,South Carolina Upstate Spartans,83,79
a0f886561516b82bb5119ef57e169d39,Abilene Christian Wildcats,Ohio Bobcats,91,86
20413b5809ed8be8691fa013be8f9b88,Murray St Racers,Saint Peter's Peacocks,60,70
a4482b6dc9ad0b5371453a6436567129,Arkansas Razorbacks,New Mexico St Aggies,53,48
20c853208d95ba5b62ebd329558638b0,Gonzaga Bulldogs,Memphis Tigers,82,78
817f432b648ddc1d09b956f34ec3664e,VMI Keydets,UNC Wilmington Seahawks,93,78
7afd2fb514256d77669a03f3bfd0f2a3,Illinois Fighting Illini,Houston Cougars,53,68
1f2fef63e0f4dfedce5d3ad178ff7254,Florida Atlantic Owls,N Colorado Bears,73,71
c4ee216ce0c916590047a9d36733c457,Villanova Wildcats,Ohio State Buckeyes,71,61
f1ffb6a5b4e49306c91aa9319c7ba37b,Duke Blue Devils,Michigan St Spartans,85,76
86382d3d1018903958678732b6fba021,Wisconsin Badgers,Iowa State Cyclones,48,54
3c5257320a08a47620c809e375490d3b,Texas Tech Red Raiders,Notre Dame Fighting Irish,59,53

